input_shape: (64, 310)
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 1'-'10_20151014.mat, Accuracy: 0.6000000238418579, Loss: 0.9682831168174744
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 1'-'11_20150916.mat, Accuracy: 0.6000000238418579, Loss: 1.2337898015975952
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 1'-'12_20150725.mat, Accuracy: 0.4000000059604645, Loss: 1.4107179641723633
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 1'-'13_20151115.mat, Accuracy: 0.6000000238418579, Loss: 0.9326745867729187
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 1'-'14_20151205.mat, Accuracy: 0.4000000059604645, Loss: 1.086969256401062
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 1'-'15_20150508.mat, Accuracy: 0.800000011920929, Loss: 1.0162070989608765
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 1'-'1_20160518.mat, Accuracy: 0.6000000238418579, Loss: 1.4727529287338257
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 1'-'2_20150915.mat, Accuracy: 0.800000011920929, Loss: 0.48031654953956604
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 1'-'3_20150919.mat, Accuracy: 0.6000000238418579, Loss: 1.642218828201294
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 1'-'4_20151111.mat, Accuracy: 0.6000000238418579, Loss: 1.9108294248580933
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 1'-'5_20160406.mat, Accuracy: 0.6000000238418579, Loss: 1.217965006828308
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 1'-'6_20150507.mat, Accuracy: 0.6000000238418579, Loss: 1.618364691734314
