EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 1'-'10_20151014.mat, Accuracy: 0.20000000298023224, Loss: 4.522582530975342
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 1'-'11_20150916.mat, Accuracy: 0.800000011920929, Loss: 1.428895354270935
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 1'-'12_20150725.mat, Accuracy: 0.800000011920929, Loss: 2.1778218746185303
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 1'-'13_20151115.mat, Accuracy: 0.800000011920929, Loss: 3.2774384021759033
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 1'-'14_20151205.mat, Accuracy: 0.6000000238418579, Loss: 3.7909557819366455
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 1'-'15_20150508.mat, Accuracy: 0.6000000238418579, Loss: 4.2450480461120605
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 1'-'1_20160518.mat, Accuracy: 0.6000000238418579, Loss: 3.9218544960021973
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 1'-'2_20150915.mat, Accuracy: 0.6000000238418579, Loss: 3.9893765449523926
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 1'-'3_20150919.mat, Accuracy: 0.6000000238418579, Loss: 3.880713701248169
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 1'-'4_20151111.mat, Accuracy: 0.800000011920929, Loss: 3.838758945465088
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 1'-'5_20160406.mat, Accuracy: 0.6000000238418579, Loss: 3.1880686283111572
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 1'-'6_20150507.mat, Accuracy: 0.800000011920929, Loss: 2.8652117252349854
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 1'-'7_20150715.mat, Accuracy: 0.800000011920929, Loss: 3.152585744857788
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 1'-'8_20151103.mat, Accuracy: 0.6000000238418579, Loss: 2.9752144813537598
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 1'-'9_20151028.mat, Accuracy: 0.6000000238418579, Loss: 3.7175636291503906
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 2'-'10_20151021.mat, Accuracy: 0.20000000298023224, Loss: 1.5306566953659058
