EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 1'-'10_20151014.mat, Accuracy: 0.4000000059604645, Loss: 15.852015495300293
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 1'-'11_20150916.mat, Accuracy: 0.4000000059604645, Loss: 16.536447525024414
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 1'-'12_20150725.mat, Accuracy: 0.4000000059604645, Loss: 14.582984924316406
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 1'-'13_20151115.mat, Accuracy: 0.4000000059604645, Loss: 9.136192321777344
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 1'-'14_20151205.mat, Accuracy: 0.4000000059604645, Loss: 4.496741771697998
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 1'-'15_20150508.mat, Accuracy: 0.4000000059604645, Loss: 4.19380521774292
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 1'-'1_20160518.mat, Accuracy: 0.4000000059604645, Loss: 3.996746063232422
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 1'-'2_20150915.mat, Accuracy: 0.4000000059604645, Loss: 2.165980100631714
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 1'-'3_20150919.mat, Accuracy: 0.4000000059604645, Loss: 1.8516085147857666
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 1'-'4_20151111.mat, Accuracy: 0.4000000059604645, Loss: 2.1108129024505615
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 1'-'5_20160406.mat, Accuracy: 0.800000011920929, Loss: 1.463459849357605
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 1'-'6_20150507.mat, Accuracy: 0.800000011920929, Loss: 1.4220789670944214
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 1'-'7_20150715.mat, Accuracy: 0.800000011920929, Loss: 1.2952693700790405
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 1'-'8_20151103.mat, Accuracy: 0.800000011920929, Loss: 1.7018368244171143
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 1'-'9_20151028.mat, Accuracy: 0.6000000238418579, Loss: 1.7875524759292603
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 2'-'10_20151021.mat, Accuracy: 0.20000000298023224, Loss: 1.4932833909988403
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 2'-'11_20150921.mat, Accuracy: 0.0, Loss: 1.9599465131759644
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 2'-'12_20150804.mat, Accuracy: 0.0, Loss: 3.061614990234375
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 2'-'13_20151125.mat, Accuracy: 0.20000000298023224, Loss: 2.2685301303863525
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 2'-'14_20151208.mat, Accuracy: 0.20000000298023224, Loss: 2.724201202392578
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 2'-'15_20150514.mat, Accuracy: 0.20000000298023224, Loss: 1.7562299966812134
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 2'-'1_20161125.mat, Accuracy: 0.20000000298023224, Loss: 2.123115301132202
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 2'-'2_20150920.mat, Accuracy: 0.20000000298023224, Loss: 2.0635108947753906
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 2'-'3_20151018.mat, Accuracy: 0.20000000298023224, Loss: 1.6784604787826538
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 2'-'4_20151118.mat, Accuracy: 0.20000000298023224, Loss: 1.6215566396713257
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 2'-'5_20160413.mat, Accuracy: 0.20000000298023224, Loss: 1.6603096723556519
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 2'-'6_20150511.mat, Accuracy: 0.20000000298023224, Loss: 1.7607319355010986
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 2'-'7_20150717.mat, Accuracy: 0.20000000298023224, Loss: 1.8294861316680908
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 2'-'8_20151110.mat, Accuracy: 0.20000000298023224, Loss: 1.908940315246582
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 2'-'9_20151119.mat, Accuracy: 0.20000000298023224, Loss: 1.97415030002594
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 3'-'10_20151023.mat, Accuracy: 0.4000000059604645, Loss: 1.3830887079238892
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 3'-'11_20151011.mat, Accuracy: 0.6000000238418579, Loss: 1.3150519132614136
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 3'-'12_20150807.mat, Accuracy: 0.20000000298023224, Loss: 1.4051049947738647
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 3'-'13_20161130.mat, Accuracy: 0.20000000298023224, Loss: 1.4220136404037476
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 3'-'14_20151215.mat, Accuracy: 0.20000000298023224, Loss: 1.474867343902588
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 3'-'15_20150527.mat, Accuracy: 0.20000000298023224, Loss: 1.5360831022262573
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 3'-'1_20161126.mat, Accuracy: 0.20000000298023224, Loss: 1.4658564329147339
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 3'-'2_20151012.mat, Accuracy: 0.20000000298023224, Loss: 2.0785977840423584
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 3'-'3_20151101.mat, Accuracy: 0.4000000059604645, Loss: 1.299107551574707
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 3'-'4_20151123.mat, Accuracy: 0.20000000298023224, Loss: 1.886683702468872
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 3'-'5_20160420.mat, Accuracy: 0.4000000059604645, Loss: 2.0299859046936035
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 3'-'6_20150512.mat, Accuracy: 0.4000000059604645, Loss: 1.8786919116973877
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 3'-'7_20150721.mat, Accuracy: 0.4000000059604645, Loss: 1.773309350013733
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 3'-'8_20151117.mat, Accuracy: 0.4000000059604645, Loss: 1.7823514938354492
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5, 1), File: 3'-'9_20151209.mat, Accuracy: 0.4000000059604645, Loss: 1.9213463068008423
Average Test Accuracy CNN 3D : 0.3377777834733327, Loss: 3.0473275634977552
